Time,Emotion,Confidence,Details
2024-08-23 07:55:47,sad,0.63,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.16, 'sad': 0.63, 'surprise': 0.0, 'neutral': 0.12}"
2024-08-23 07:55:48,sad,0.56,"{'angry': 0.12, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.17, 'sad': 0.56, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,sad,0.53,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.17, 'sad': 0.53, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,neutral,0.79,"{'angry': 0.05, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.0, 'sad': 0.1, 'surprise': 0.0, 'neutral': 0.79}"
2024-08-23 07:55:48,sad,0.59,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.15, 'sad': 0.59, 'surprise': 0.0, 'neutral': 0.12}"
2024-08-23 07:55:48,neutral,0.71,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.17, 'happy': 0.0, 'sad': 0.05, 'surprise': 0.03, 'neutral': 0.71}"
2024-08-23 07:55:48,sad,0.51,"{'angry': 0.11, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.22, 'sad': 0.51, 'surprise': 0.0, 'neutral': 0.11}"
2024-08-23 07:55:48,sad,0.54,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.16, 'sad': 0.54, 'surprise': 0.0, 'neutral': 0.12}"
2024-08-23 07:55:48,sad,0.53,"{'angry': 0.13, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.19, 'sad': 0.53, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,sad,0.58,"{'angry': 0.08, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.16, 'sad': 0.58, 'surprise': 0.0, 'neutral': 0.13}"
2024-08-23 07:55:48,sad,0.56,"{'angry': 0.19, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.13, 'sad': 0.56, 'surprise': 0.0, 'neutral': 0.08}"
2024-08-23 07:55:48,sad,0.58,"{'angry': 0.13, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.15, 'sad': 0.58, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,sad,0.59,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.13, 'sad': 0.59, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,sad,0.63,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.18, 'sad': 0.63, 'surprise': 0.0, 'neutral': 0.1}"
2024-08-23 07:55:48,sad,0.6,"{'angry': 0.16, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.11, 'sad': 0.6, 'surprise': 0.0, 'neutral': 0.08}"
2024-08-23 07:55:49,sad,0.57,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.13, 'sad': 0.57, 'surprise': 0.0, 'neutral': 0.11}"
2024-08-23 07:55:49,neutral,0.82,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.01, 'sad': 0.05, 'surprise': 0.01, 'neutral': 0.82}"
2024-08-23 07:55:49,sad,0.57,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.15, 'sad': 0.57, 'surprise': 0.0, 'neutral': 0.1}"
